neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
2484506,484506 (2008 ER7),20.16,0.246919266,0.552128263,Earth,69261.11628,62403295.51,TRUE
3739412,(2016 AV65),25,0.02658,0.059434687,Earth,16559.74272,70072019.68,FALSE
54308044,(2022 SC11),21.16,0.155795524,0.348369383,Earth,25050.49968,55546928.59,FALSE
2001036,1036 Ganymed (A924 UB),9.25,37.54524794,83.95372662,Earth,61537.3258,57051078.73,FALSE
2004947,4947 Ninkasi (1988 TJ1),18.08,0.643509521,1.438931032,Earth,31437.76375,46059910.72,FALSE
2363305,363305 (2002 NV16),21.41,0.138852907,0.310484539,Earth,15966.03385,4282370.136,TRUE
3831728,(2018 TU4),25.5,0.021113245,0.04721065,Earth,41026.42283,4249783.801,FALSE
54190785,(2021 QE2),24.49,0.033616692,0.075169209,Earth,84365.63634,54035766.08,FALSE
2497232,497232 (2005 EF),20.74,0.189040552,0.422707525,Earth,32916.83359,67799073.79,FALSE
3014117,(1998 SL36),20.22,0.24019003,0.537081235,Earth,60922.50119,36436831.7,TRUE
3605565,(2012 LD1),21.8,0.116025908,0.259441818,Earth,27543.47723,61215858.51,FALSE
3614981,(2012 UU158),26.91,0.011029479,0.024662664,Earth,34017.87991,14740502.64,FALSE
3773922,(2017 GW6),21.17,0.155079709,0.346768771,Earth,50785.59185,30282445.8,FALSE
3788893,(2017 UZ44),22.07,0.102460148,0.229107855,Earth,74015.80779,6704223.742,FALSE
54385792,(2023 SX2),25.01,0.026457876,0.059161609,Earth,17380.2224,15358993.18,FALSE
2660096,660096 (1998 SL36),20.23,0.239086457,0.534613571,Earth,60922.50107,36436831.64,TRUE
3457388,(2009 HE),21.03,0.165407416,0.369862226,Earth,96230.02591,11496574.87,FALSE
3761647,(2016 UY35),24.7,0.030517923,0.068240151,Earth,42594.0875,23289667.53,FALSE
3879547,(2019 UO5),25.6,0.020162992,0.045085821,Earth,44211.83511,33323945.35,FALSE
54016321,(2020 FJ3),23.93,0.043506583,0.097283677,Earth,57628.15418,60917551.5,FALSE
54051291,(2020 QW2),20.6,0.201629919,0.450858206,Earth,42229.27848,22751550.53,FALSE
2141432,141432 (2002 CQ11),20.06,0.258556212,0.578149266,Earth,57168.19277,62080258.64,TRUE
2488615,488615 (2002 SR),21.68,0.122618211,0.274182656,Earth,20648.75177,13777136.63,FALSE
2509505,509505 (2007 VL8),21.23,0.150853356,0.337318359,Earth,37811.58963,17543912.47,FALSE
3568564,(2011 NY),20.5,0.211132445,0.472106499,Earth,60885.4618,47648220.66,FALSE
3616699,(2012 VP6),24.2,0.038419789,0.08590926,Earth,17538.14361,19350631.54,FALSE
